,City ID,City Name,Cloudiness,Humidity,Latitude,Longitude,Temp Max,Wind Speed
94,2175127,Bobin,90,76,-31.72,152.28,50.0,12.75
95,2148052,Stroud,90,87,-32.4,151.97,48.2,17.22
96,2073354,Cunderdin,0,84,-31.65,117.25,40.41,2.84
97,2075350,Burekup,36,87,-33.3,115.82,45.36,2.73
98,2058007,Wongamine,40,93,-31.48,116.62,51.8,3.36
99,2156992,Moorland,90,76,-31.78,152.67,50.0,12.75
100,2167390,Empire Vale,0,100,-28.92,153.5,58.41,17.16
101,2170654,Coolabah,0,91,-31.03,146.72,40.5,10.78
102,1808204,Heyin,80,98,36.04,101.42,43.11,2.39
103,1849094,Usuki,88,100,33.11,131.79,64.8,15.03
104,1279228,Ahmadnagar,76,82,19.08,74.73,75.42,1.39
105,3014728,Grenoble,0,56,45.17,5.72,68.0,3.36
106,2974020,Soulier,76,82,45.69,2.68,62.6,4.7
107,6427168,Courseulles-sur-Mer,0,82,49.33,-0.45,69.8,4.7
108,6452505,Aigueblanche,0,82,45.5,6.5,62.6,0.94
109,6449058,Desges,68,79,45.02,3.47,59.94,3.18
110,3008168,La Mesnière,68,93,48.53,0.43,64.4,4.7
111,2969827,Verneix,32,76,46.4,2.67,63.63,7.65
112,6429453,Montazeau,0,77,44.88,0.15,68.0,4.7
113,3019340,Etsaut,68,72,42.92,-0.57,68.0,5.82
114,6452149,Alleuze,68,72,44.96,3.09,64.4,9.17
115,6440065,Lempty,12,82,45.83,3.33,62.6,4.7
116,2981912,Saint-Agnan-le-Malherbe,0,82,49.04,-0.58,69.8,4.7
117,6429641,Savignac-Lédrier,0,82,45.37,1.22,64.4,3.36
118,6432501,Villenave-de-Rions,20,77,44.68,-0.33,68.0,4.7
119,3011292,Labastide,68,72,45.13,3.66,64.4,2.24
120,6449450,Argouges,76,82,48.5,-1.4,66.2,9.17
121,6448893,Eugénie-les-Bains,75,68,43.7,-0.38,69.8,3.36
122,6449469,Belval,56,82,49.03,-1.37,66.2,4.7
123,2980881,Saint-Denis-le-Gast,56,82,48.94,-1.33,66.2,9.17
124,3009124,La Genevraie,68,78,48.68,0.32,65.97,11.23
125,6539857,Ardore,40,78,38.19,16.17,73.4,5.82
126,6539332,San Vito al Tagliamento,0,69,45.91,12.86,80.6,3.36
127,1525014,Bulaevo,68,46,54.91,70.44,61.56,17.49
128,8010722,Arcos,40,72,40.45,-8.44,62.6,10.29
129,8012535,Malveira,20,55,38.93,-9.26,68.0,9.17
130,8011816,Furadouro,40,67,40.07,-8.51,60.8,9.17
131,8010768,Paramos,40,77,40.97,-8.63,62.6,8.05
132,2733396,Travassós,40,72,40.67,-7.96,62.6,10.29
133,8014552,Macieira da Lixa,40,77,41.35,-8.15,62.6,8.05
134,264839,Ano Syros,0,49,37.45,24.93,71.6,16.11
135,2649264,Foggathorpe,0,72,53.83,-0.86,69.8,10.29
136,6943731,Doaktown,0,41,46.56,-66.13,81.81,4.18
137,6325493,Kamouraska,0,67,47.57,-69.87,78.93,4.52
138,6945981,Lac-Etchemin,0,52,46.4,-70.51,81.18,4.52
139,6104287,Pierceland,75,54,54.33,-109.77,55.4,11.41
140,6174055,Victoria Cove,40,71,49.35,-54.5,51.8,18.34
141,5992138,Kincaid,92,56,49.67,-107.0,59.67,7.2
142,3532655,Asuncion Ocotlan,40,42,16.77,-96.72,80.6,10.29
143,3983805,Santa Rosalia,8,94,27.32,-112.28,76.5,4.52
144,3523412,Mazatlan,0,41,17.45,-99.48,85.59,2.73
145,4564949,Fajardo Municipio,40,74,18.31,-65.68,84.2,20.8
146,2941605,Burach,80,68,47.8,9.63,73.4,1.12
147,2936683,Dobbertin,20,64,53.62,12.07,68.0,17.22
148,2940384,Landkreis Calw,0,54,48.7,8.64,78.8,2.24
149,2821963,Toging am Inn,75,88,48.25,12.58,66.2,5.82
150,2881889,Lahnstein,24,60,50.3,7.62,80.6,4.7
151,6548341,Cambs,20,64,53.7,11.53,68.0,17.22
152,2858007,Ödmühl,75,77,47.77,12.75,66.2,5.82
153,2825057,Süderwöhrden,20,72,54.17,9.0,77.0,16.11
154,3208628,Vorsfelde,0,61,52.44,10.84,80.6,1.12
155,2888481,Kleinmoor,75,64,50.7,9.65,75.2,6.93
156,6548742,Laußig,0,61,51.55,12.63,84.2,3.36
157,6556634,Pemfling,75,100,49.27,12.62,77.0,3.74
158,2856075,Ottensen,20,54,53.55,9.92,78.8,12.75
159,2956234,Anderbeck,0,61,51.98,10.93,80.6,1.12
160,2912829,Hadamar,20,68,50.45,8.05,80.6,5.82
161,2805776,Wunschenberg,75,100,49.9,11.95,64.4,3.85
162,2906726,Helmershausen,0,53,50.57,10.25,75.2,3.36
163,2959621,Achtrup,20,72,54.78,9.03,68.0,8.05
164,2832871,Seukendorf,75,73,49.48,10.88,78.8,9.17
165,2931242,Elbitz,0,61,51.53,11.72,77.0,3.36
166,6547502,Otzing,12,98,48.77,12.82,69.21,2.95
167,2877201,Lindflur,75,68,49.71,9.93,78.8,4.7
168,2931276,Elberfeld,40,61,51.27,7.13,78.8,4.7
169,2942559,Buchenbeuren,0,60,49.92,7.27,78.8,4.7
170,2921700,Geisenkam,75,77,47.78,12.22,66.2,5.82
171,6555809,Bösingen,75,64,48.23,8.55,73.4,4.7
172,6554039,Hirschberg,20,68,50.38,7.93,80.6,5.82
173,2829353,Staudernheim,0,60,49.78,7.68,80.6,4.7
174,2939367,Dahnsdorf,75,39,52.1,12.67,84.2,4.7
175,2803793,Zschoppach,0,61,51.22,12.88,84.2,3.36
176,2863755,Nexdorf,75,39,51.63,13.37,84.2,4.7
177,6550160,Werningshausen,0,53,51.13,11.0,75.2,3.36
178,2829506,Stapelmoorerheide,48,88,53.13,7.28,71.6,5.82
179,2942863,Buch,75,64,48.32,10.02,73.4,1.12
180,3225056,Peterswald-Loffelscheid,0,60,50.0,7.3,78.8,4.7
181,2858071,Oederquart,75,61,53.8,9.24,78.8,10.29
182,6549838,Görsbach,0,53,51.45,10.93,75.2,3.36
183,3209292,Altbarnim,0,44,52.68,14.27,84.2,3.36
184,6547826,Görmin,20,64,53.98,13.27,68.0,17.22
185,2813411,Weetzen,75,54,52.3,9.64,80.6,4.7
186,2911953,Hailing,75,88,48.75,12.55,64.4,5.82
187,2887207,Kneitlingen,0,61,52.17,10.76,80.6,1.12
188,6554741,Herl,0,60,49.73,6.82,78.8,4.7
189,2915166,Grosspurschutz,0,53,50.82,11.6,75.2,3.36
190,2803964,Zodel,0,56,51.24,15.01,75.96,6.2
191,2836400,Schoppendorf,0,53,50.93,11.27,75.2,3.36
192,2933701,Eckartsweiler,90,82,49.27,10.35,78.8,11.41
193,3115198,Olarra,75,77,43.15,-2.79,64.4,3.36
194,6360227,Marín,40,76,42.38,-8.72,57.2,6.93
195,3118241,Llimiana,36,91,42.07,0.92,62.37,2.06
196,6359943,Nava,75,93,43.34,-5.49,59.0,13.87
197,6359314,Moralzarzal,20,46,40.67,-3.94,73.4,9.17
198,3128646,Barrañán,40,63,43.3,-8.53,60.8,9.17
199,2514225,Malpartida de Plasencia,20,60,39.98,-6.05,67.14,2.95
200,6359864,Melón,40,76,42.28,-8.22,57.2,6.93
